title,artist,year,position,mood_tone,instrumentation,genre,lyrics
Nothing Compares 2 U,Sinead O'Connor,1990,3,"sorrowful, vulnerable, stark","minimalist arrangement, female vocals",alternative rock,"[Verse]
It's been hours, it's been days  
Since you walked your separate ways  
And though I try to clear my mind  
You're the thought I always find  

[Chorus]
Nothing compares to you  
No one else sees me through  
I tried to laugh, I tried to run  
But every joy fades when you’re gone  

[Verse]
They say time can heal the soul  
But I still feel the gaping hole  
I wear your name behind my eyes  
You were my earth, my sky  

[Bridge]
Even in a world brand new  
There’s nothing that compares to you  

[Outro]
No light, no sound, no hue  
Can match what I had with you"
Poison,Bell Biv DeVoe,1990,4,"energetic, edgy, funky","synth-heavy beats, male vocals",new jack swing,"[Verse]
She walks in silk, she walks in flame  
And every step she takes, they call her name  
A glance, a smile, and you forget  
That danger hasn’t passed you yet  

[Chorus]
Poison, in her kiss  
A sweetness you can’t resist  
She’s the thrill that breaks your fall  
But leaves you with nothing at all  

[Verse]
You think you’ve got her figured out  
But she’s the silence in your shout  
She’s the fire behind the charm  
A warning dressed in warm  

[Bridge]
You play the game, you lose control  
She’s already claimed your soul  

[Outro]
Poison, in disguise  
A devil with angel eyes"
Vogue,Madonna,1990,5,"glamorous, confident, stylish","vogue samples, house rhythm, female vocals","dance-pop, house","[Verse]
Strike a pose, no need to talk  
Let your body do the walk  
In the spotlight, bold and free  
You’re a living legacy  

[Chorus]
Vogue, feel the beat  
Let your style become elite  
Every step, a work of art  
Every move, a brand new start  

[Verse]
Lift your head and find the frame  
Turn the mirror into fame  
Grace and power in your stance  
This is more than just a dance  

[Bridge]
You’re the moment, you’re the muse  
In your hands, the world you choose  

[Outro]
Vogue, and don’t look back  
You were born to light the track"
(Everything I Do) I Do It For You,Bryan Adams,1991,1,"romantic, grand, heartfelt","orchestral backing, rock guitar","pop rock, ballad","[Verse]  
I’ve crossed the miles and braved the dark  
To chase the echo of your spark  
Every moment, near or far  
I’ve kept your name within my heart  

[Chorus]  
Everything I do, I do it for you  
Every breath I take, every sky I move through  
There’s no dream too high, no storm too wide  
I’d face it all with you by my side  

[Verse]  
I’ve turned away from easy roads  
Carried silence, heavy loads  
But loving you is what feels right  
You’re my reason, my guiding light  

[Bridge]  
If the world should fall apart  
I’ll still stand with open heart  

[Outro]  
Everything I do, I do it for you  
For love that’s pure and true"
I Wanna Sex You Up,Color Me Badd,1991,2,"seductive, smooth, playful","slow jam groove, harmonies","R&B, new jack swing","[Verse]
Midnight falls, I feel the fire  
Your touch is all that I desire  
No more words, just body heat  
In your arms, I’m complete  

[Chorus]
I wanna sex you up  
Feel the night, don’t interrupt  
Let the rhythm lead us on  
Till the breaking of the dawn  

[Verse]
The candlelight, the silent room  
Your perfume dancing through the gloom  
Every breath you take, I crave  
Every sigh, a wave I brave  

[Bridge]
No need to slow, just let it flow  
Take me where you always go  

[Outro]
I wanna sex you up tonight  
Make it real, make it right"
Gonna Make You Sweat,C&C Music Factory,1991,3,"energetic, club-ready, bold","synths, vocal samples, dance beat",dance-pop,"[Intro]  
Yeah! Get up, get down—feel it now!  

[Verse]  
Bass is pumpin’, lights are flashin’  
Crowd is jumpin’, hearts are crashin’  
Feel the rhythm in your spine  
Let that body break the line  

[Chorus]  
Gonna make you sweat, don’t fight the groove  
Gonna shake your soul, get you in the mood  
Gonna make you move, gonna turn it up  
Till the beat won’t stop, till we’ve had enough  

[Verse]  
Hands up high, the floor is burnin’  
Turn it loose, no more returnin’  
Drop the stress, just let it slide  
Tonight we’re living amplified  

[Bridge]  
It’s a fever, it’s a fire  
Climbin’ high, takin’ you higher  

[Outro]  
Gonna make you sweat, yeah that’s the plan  
Feel the rhythm, feel the jam!"
Rush Rush,Paula Abdul,1991,4,"dreamy, romantic, sentimental","synths, slow rhythm, female vocals",pop ballad,"[Verse]
Waiting by the window frame  
Whispering your secret name  
Time is slow, but my heart flies  
Searching through the clouded skies  

[Chorus]
Rush, rush into my arms  
Let me drown in all your charms  
Take me now, don’t think twice  
Let’s get lost in paradise  

[Verse]
Every second drips like rain  
But you erase my every pain  
Don’t delay, don’t let this fade  
This kind of love can’t be delayed  

[Bridge]
When I dream, it’s always you  
Running fast and pulling through  

[Outro]
Rush, rush, into the flame  
We’ll never be the same"
One More Try,Timmy T,1991,5,"pleading, emotional, soft","minimalist keys, male vocals","freestyle, pop","[Verse]
I gave my heart, I held your hand  
But something slipped like grains of sand  
We said goodbye, we played it cold  
But this regret is growing old  

[Chorus]
Give me one more try  
One more look before goodbye  
I’ll show you what I couldn’t say  
Don’t let this love just fade away  

[Verse]
I made mistakes, I lost my way  
But I’ve been aching every day  
Your name still echoes through the night  
A ghost I long to hold so tight  

[Bridge]
We’re not done, I feel it still  
Say the word and I will  

[Outro]
One more try, just one chance  
To rewrite our romance"
End of the Road,Boyz II Men,1992,1,"emotional, soulful, dramatic","vocal harmonies, strings, piano","R&B, ballad","[Verse]
We started out so sure, so strong  
But somewhere, we both went wrong  
Now we’re standing face to face  
In a quiet, shattered place  

[Chorus]
It’s the end of the road  
But my heart still bears the load  
Though we can’t pretend anymore  
I’m not ready to close the door  

[Verse]
Memories dance like broken light  
Through every lonely, sleepless night  
I’d give it all, I’d take the fall  
If you’d just answer when I call  

[Bridge]
Sometimes love just slips away  
Even when you beg it to stay  

[Outro]
End of the road, but I still try  
To love you beyond goodbye"
Baby Got Back,Sir Mix-a-Lot,1992,2,"funny, brash, bold","bass-heavy beat, male vocals","hip hop, novelty","[Verse]
Walkin’ through the spot, heads turnin’  
Bass is low, my mind is burnin’  
She’s got style, she’s got sway  
You can’t fake that kind of display  

[Chorus]
She got back, no need to lie  
Catchin’ glances, passin’ by  
Confidence from hip to toe  
And she knows just how to show  

[Verse]
Fashion strong, attitude loud  
She stands out in every crowd  
Moves so smooth, eyes so sharp  
She’s the rhythm, she’s the spark  

[Bridge]
She don’t care what people say  
She’s got pride in every way  

[Outro]
She got back, and she’s proud  
Say it true, say it loud"
Jump,Kris Kross,1992,3,"hyper, playful, energetic","hip hop beats, youthful vocals",hip hop,"[Verse]
Hit the floor, it’s goin’ down  
Feel the heat rise from the ground  
Every beat's a shot of light  
Turn it up, let loose tonight  

[Chorus]
Jump! Shake off all your fears  
We’re dancing through the years  
Jump! Like you’ve never known  
You’re never in this alone  

[Verse]
Hands up, don’t hesitate  
This groove can’t wait  
The rhythm’s here to set you free  
It’s where you’re meant to be  

[Bridge]
Feel the fire in your bones  
This is where your spirit hones  

[Outro]
Jump! And own the night  
Make it yours, make it right"
Save the Best for Last,Vanessa Williams,1992,4,"elegant, heartfelt, delicate","piano, soft strings, female vocals","adult contemporary, pop","[Verse]
Sometimes love comes dressed in pain  
And hides behind a windowpane  
You never think it’s meant for you  
Until the sky reveals the view  

[Chorus]
You save the best for last  
After all the moments passed  
When you thought your chance was gone  
That’s when love comes along  

[Verse]
I watched you go, I stood aside  
But now you’re here, arms open wide  
You turned my sorrow into song  
And made me feel I still belong  

[Bridge]
The timing wasn’t right before  
But now I see what hearts are for  

[Outro]
You saved the best for me  
A love I thought I'd never see"
Baby-Baby-Baby,TLC,1992,5,"romantic, smooth, confident","new jack swing beats, female vocals","R&B, new jack swing","[Verse]
You know you got me in a spin  
With every glance, you draw me in  
I try to act like I’m okay  
But you take my breath away  

[Chorus]
Baby, baby, baby  
You’re the one who drives me crazy  
Got me dreaming every night  
Wishing I could hold you tight  

[Verse]
Your smile is my secret bliss  
Each word a hit, each touch a kiss  
You don’t even know your power  
You bloom in every hour  

[Bridge]
I’ve been patient, I’ve been true  
All I want is more of you  

[Outro]
Baby, baby, don’t you see  
You’re everything to me"
I Will Always Love You,Whitney Houston,1993,1,"powerful, emotional, dramatic","vocal power, orchestral backing","pop ballad, soul","[Verse]
If I should stay, I’d only cry  
So I walk away, though I don’t know why  
Love like ours, it's rare and true  
And I will always carry you  

[Chorus]
I will always love you  
No matter what we’ve been through  
Even as I say goodbye  
You’re still the light in my sky  

[Verse]
We had our time, and it was gold  
But some stories can’t be told  
In chapters we try to hold  
So I let go, but not my soul  

[Bridge]
Bittersweet, yet full of grace  
Your memory, a warm embrace  

[Outro]
I will always love you still  
Beyond goodbye, beyond the hill"
Whoomp! (There It Is),Tag Team,1993,2,"fun, energetic, carefree","bass-heavy beat, chant vocals","hip hop, party anthem","[Verse]
Step into the groove, don’t be shy  
Let the rhythm amplify  
We came to move, came to play  
And dance until the break of day  

[Chorus]
Whoomp! There it is  
Feel the beat, feel the bliss  
Hands up, shake the floor  
This is what we came here for  

[Verse]
The bass is deep, the night is young  
We speak with motion, not our tongue  
No holding back, no delay  
Just ride the wave and shout “okay!”  

[Bridge]
Let the rhythm guide your soul  
Lose yourself and take control  

[Outro]
Whoomp! There it is, we rise  
Underneath these neon skies"
Can't Help Falling in Love,UB40,1993,3,"romantic, mellow, smooth","reggae beat, soft vocals",reggae-pop,"[Verse]
Wise men say to guard your heart  
But I’ve been lost from the very start  
You look at me and time stands still  
And I surrender all my will  

[Chorus]
I can’t help falling in love  
You fit me like a glove  
With every word and every sigh  
You lift me gently to the sky  

[Verse]
Like rivers flow into the sea  
I drift and settle where you’ll be  
Though paths may twist, I’ll stay with you  
In every dawn, in every view  

[Bridge]
So take my hand and lead me slow  
Where love is all we’ll ever know  

[Outro]
Can’t help falling, it's true  
I was always meant for you"
That's the Way Love Goes,Janet Jackson,1993,4,"sensual, relaxed, smooth","synth groove, female vocals",R&B,"[Verse]
Soft and slow, it pulls you near  
Whispers truth you didn’t hear  
Takes your breath, steals your time  
Wraps you up like sweetest wine  

[Chorus]
That’s the way love goes  
Like a river where nobody knows  
How deep it runs, how wide it spreads  
But once it starts, it never ends  

[Verse]
A look, a smile, and it begins  
You're tangled up in all your sins  
But somehow still you don’t regret  
It’s the sweetest danger yet  

[Bridge]
You can’t fight what’s in your veins  
Love will always break the chains  

[Outro]
That’s the way love flows  
Soft and wild, and it shows"
Freak Me,Silk,1993,5,"intimate, sultry, soft","slow jam beat, male vocals","R&B, slow jam","[Verse]
Your touch is thunder in the night  
You draw me in without a fight  
No need for words, just what we feel  
This moment’s fire, raw and real  

[Chorus]
Let me freak you, slow and sweet  
Feel the rhythm in the heat  
Every breath, every sound  
Let our bodies spin around  

[Verse]
Silk and sweat, a perfect blend  
No beginning, no end  
You light a flame I can’t deny  
You take me low, then lift me high  

[Bridge]
Lose control, give in to lust  
Let desire earn your trust  

[Outro]
Let me freak you through and through  
Every move, just me and you"
The Sign,Ace of Base,1994,1,"bright, catchy, tropical","reggae-influenced synths, vocals","pop, reggae-pop","[Verse]
I was blind, couldn’t see the way  
Every step just led astray  
But then you came, and skies were clear  
The truth was always waiting near  

[Chorus]
I saw the sign, and it opened my eyes  
Told me where my future lies  
No more games, no more disguise  
Now I finally realize  

[Verse]
You broke the chain, you lit the spark  
Turned the shadows into art  
I won’t look back, I’ve found my song  
Where I belong, where I’ve been strong  

[Bridge]
The road was dark, but now it’s lit  
With every truth I used to quit  

[Outro]
I saw the sign, and now I know  
It's time to rise, it's time to grow"
I Swear,All-4-One,1994,2,"romantic, sincere, gentle","piano, harmonized male vocals","R&B, pop ballad","[Verse]
When the night grows cold and long  
I’ll be there, holding strong  
You can trust in what I say  
I’ll never walk away  

[Chorus]
I swear, by the moon and the stars above  
To guard you with my endless love  
Through every high and every low  
I’ll be the one you’ll always know  

[Verse]
Even when the world turns gray  
I’ll be your sun through every day  
My heart belongs to only you  
In every word, in all I do  

[Bridge]
Time may change the world we see  
But it won't change what's in me  

[Outro]
I swear, forever starts with you  
And every vow I make is true"
I'll Make Love to You,Boyz II Men,1994,3,"tender, passionate, slow","orchestral backing, male vocals","R&B, soul","[Verse]
Candlelight and softest rain  
I’ll take away your every pain  
No need to speak, just take my hand  
I’ll show you how I understand  

[Chorus]
I’ll make love to you  
Like you’ve never known it’s true  
Hold you close, feel you near  
Whisper words you need to hear  

[Verse]
Every moment, slow and deep  
You’re the dream I want to keep  
Let’s lose the world and take our time  
Our rhythm falling into rhyme  

[Bridge]
This night’s for you, just say the word  
And I’ll give you all you’ve ever heard  

[Outro]
I’ll make love to you tonight  
Until we rise in morning light"
The Power of Love,Celine Dion,1994,4,"uplifting, powerful, heartfelt","strong vocals, orchestral arrangement","adult contemporary, pop","[Verse]
When the world feels far and cold  
You’re the warmth I need to hold  
Every heartbeat, every sigh  
You lift me up, you help me fly  

[Chorus]
That’s the power of love  
Stronger than the stars above  
It carries me when I fall  
And answers every silent call  

[Verse]
Through the fire and through the rain  
You’re the cure for every pain  
You don’t speak, but I still hear  
Your love’s the voice I hold so dear  

[Bridge]
In your eyes, I find the light  
That makes the darkest moments bright  

[Outro]
That’s the power I believe  
The love you give, the love I need"
Hero,Mariah Carey,1994,5,"inspirational, soaring, emotional","piano, vocal-driven","pop, ballad","[Verse]
There’s a fire in every soul  
Waiting quietly to take control  
In the stillness of the night  
A hero rises into the light  

[Chorus]
You don’t need to wear a crown  
To lift someone who’s falling down  
Look inside, and you will know  
You’ve had the strength to grow  

[Verse]
Through the tears and aching fear  
You’ve been the one to persevere  
Not for fame or glory’s call  
But just to rise after you fall  

[Bridge]
It’s not in words or grand display  
It’s in the hearts you guide each day  

[Outro]
There’s a hero in you, it's true  
And the world is better because of you"
Gangsta's Paradise,Coolio feat. L.V.,1995,1,"dark, reflective, gritty","orchestral samples, rap vocals","hip hop, soul","[Verse]
As I walk through shadows of my past  
I hear the questions people ask  
Is this the life I chose to lead?  
Or just a world that plants the seed?  

[Chorus]
Livin’ in a gangsta’s paradise  
Where wrong feels right, and truth rolls dice  
Every choice a loaded gun  
And peace is something we outrun  

[Verse]
I’ve seen the pain behind the pride  
Watched too many brothers die  
We hustle hard to just survive  
But sometimes wonder why we’re alive  

[Bridge]
Don’t judge the streets if you ain’t been  
They raised me up, but pulled me in  

[Outro]
Gangsta’s paradise, it’s real  
Where silence is the deal"
Waterfalls,TLC,1995,2,"cautionary, soulful, thoughtful","R&B groove, layered vocals","R&B, pop","[Verse]
She walks the edge, afraid to fall  
But chasing dreams beyond the wall  
She’s reaching out for something more  
But can’t unlock the broken door  

[Chorus]
Don’t go chasing waterfalls  
Stick to the rivers and the calls  
That guide you home, that bring you peace  
Don’t trade your truth for a release  

[Verse]
He runs the night with hungry eyes  
But never sees the morning rise  
He’s lost in fog, in search of flame  
But can’t remember his own name  

[Bridge]
The current pulls you far and wide  
But still the truth is deep inside  

[Outro]
Don’t go chasing what won’t stay  
Find the light and walk your way"
Creep,TLC,1995,3,"confessional, smooth, moody","R&B instrumentation, female vocals",R&B,"[Verse]
I keep it cool, I play it low  
But deep inside, I need to know  
If you’re with me, or just pretend  
I can't keep playing, let's not pretend  

[Chorus]
So I creep, just to see  
What’s behind your secrecy  
You say you love me, but I doubt  
When silence speaks louder than shout  

[Verse]
You stay out late, you dodge my gaze  
But I still hope it’s just a phase  
I tell myself it’s all in my head  
But I replay every word you said  

[Bridge]
Loving you should make me rise  
Not question truth behind your eyes  

[Outro]
So I creep, because I fear  
That love’s not really here"
Kiss from a Rose,Seal,1995,4,"romantic, dramatic, mysterious","orchestral backing, male vocals","pop, ballad","[Verse]
There was a time, I walked alone  
But then you came and changed the tone  
A gentle voice, a crimson light  
You pulled me through the endless night  

[Chorus]
Like a kiss from a rose  
Soft and sharp, the way love goes  
You bring the cold and then the heat  
A contradiction so complete  

[Verse]
Your love is deep, your touch divine  
It lingers long beyond the line  
Of what I thought that love could be  
You bloomed and took the heart of me  

[Bridge]
With every breath, you draw me near  
I crave the danger and the fear  

[Outro]
Like a kiss from a rose again  
You're my joy and my pain"
On Bended Knee,Boyz II Men,1995,5,"heartfelt, emotional, tender","soft piano, vocal harmony","R&B, ballad","[Verse]
We said some things we can’t erase  
But I still long to see your face  
I played the fool, I pushed away  
Now I pray for one more day  

[Chorus]
On bended knee, I plead  
You’re the only heart I need  
I’ll rewrite the words we said  
And bring this love back from the dead  

[Verse]
I took for granted what was true  
Now every night, I dream of you  
Don’t walk away, don’t close that door  
I swear I won’t hurt you anymore  

[Bridge]
Let me show what love can be  
If you put your trust in me  

[Outro]
On bended knee, I cry  
For one last chance before goodbye"
Macarena (Bayside Boys Remix),Los del Rio,1996,1,"fun, festive, danceable","Latin beat, simple vocals","dance-pop, novelty","[Intro]
Hey Maca-Macarena!

[Verse]
She’s got the moves that light the floor  
Turns and twists, we ask for more  
Hands up high, hips so clean  
Dance like a queen, you know what I mean  

[Chorus]
Hey Maca-Macarena (Ayy!)  
Dance all night with Macarena  
Wave your hands, turn around  
Now bring it back down to the ground  

[Verse]
All the boys stop when she’s near  
She’s got the style, she’s got no fear  
Shake to the left, slide to the right  
Macarena’s got it locked tonight  

[Outro]
Hey Maca-Macarena! (One more time!)  
Hey Maca-Macarena!"
One Sweet Day,Mariah Carey and Boyz II Men,1996,2,"emotional, touching, sorrowful","piano, vocal harmonies","R&B, ballad","[Verse]
I never got to say goodbye  
But you still live beyond the sky  
Each tear I cry, I cry for two  
One for me, and one for you  

[Chorus]
One sweet day, we’ll meet again  
Beyond the hurt, beyond the end  
Till then I’ll hold you in my prayer  
And feel your love still in the air  

[Verse]
Your voice still whispers through the breeze  
You bring my busy heart to ease  
I know you watch from up above  
Guiding me with quiet love  

[Bridge]
Time may heal, but won’t erase  
Your smile, your light, your warm embrace  

[Outro]
One sweet day, I’ll find your face  
And feel again your softest grace"
Because You Loved Me,Celine Dion,1996,3,"inspirational, powerful, heartfelt","orchestral strings, strong female vocals","adult contemporary, pop","[Verse]
You were the strength I never found  
The one who kept my feet on ground  
When storms came rushing through the door  
You gave me wings, you made me soar  

[Chorus]
Because you loved me, I found grace  
In every shadow, in every place  
You believed when no one tried  
You stood behind me, arms open wide  

[Verse]
You gave me hope when dreams felt far  
You taught me who I truly are  
And even when I lost my way  
You held my hand, you chose to stay  

[Bridge]
Every tear and every mile  
You were there to make me smile  

[Outro]
Because you loved me, I still stand  
With all I am, by your hand"
Nobody Knows,The Tony Rich Project,1996,4,"melancholic, smooth, quiet","acoustic guitar, soft vocals","R&B, soul","[Verse]
I wear a smile, I play the part  
But no one sees my broken heart  
Behind these eyes, there’s rain and flame  
A world that never feels the same  

[Chorus]
Nobody knows the tears I hide  
The battles waged deep inside  
They see the light, they miss the gray  
They never hear the words I say  

[Verse]
I laugh too loud, I joke, I shine  
But pain walks close, it mirrors mine  
I scream in silence every night  
Still holding on with all my might  

[Bridge]
If someone asked, I’d just pretend  
But I still hope that pain will end  

[Outro]
Nobody knows, but I still fight  
To make it through another night"
Always Be My Baby,Mariah Carey,1996,5,"playful, romantic, memorable","R&B beat, catchy melody","R&B, pop","[Verse]
We said goodbye, but hearts don’t lie  
And time can’t make this feeling die  
Though distance grows and seasons change  
There’s something that will stay the same  

[Chorus]
You’ll always be my baby  
Even when the world turns crazy  
Our song won’t fade, it won’t erase  
I’ll always feel your warm embrace  

[Verse]
We took a path we couldn’t see  
But love still holds the memory  
You were my first, you’ll be my last  
A present bound to all my past  

[Bridge]
If you ever need to find your way  
I’ll be here every day  

[Outro]
You’ll always be my baby, true  
No matter what we’re going through"
Something About The Way You Look Tonight,Elton John,1997,1a,"sentimental, rich, romantic","piano, strings, male vocals","pop rock, ballad","[Verse]  
There’s a calm in your eyes, a light so rare  
Like a song I forgot was always there  
When you walk in the room, the world takes note  
Every heart begins to float  

[Chorus]  
There’s something about the way you look tonight  
Like a fire that turns the dark to light  
It’s not just beauty, it’s something more  
You open windows, you unlock doors  

[Verse]  
The stars get quiet when you smile  
You make the moment worth the while  
I can’t explain what makes it true  
But everything is right with you  

[Bridge]  
You don’t even know the spell you cast  
But time stands still when you walk past  

[Outro]  
Yeah, something about the way you look tonight  
Takes my breath and makes it right"
Candle in the Wind,Elton John,1997,1b,"honoring, emotional, sorrowful","piano, orchestral arrangement",pop ballad,"[Verse]  
Goodbye to the flame that never swayed  
You danced through storms, but never stayed  
The world applauded from their seats  
But never heard your heartbeat  

[Chorus]  
You were a candle in the wind  
Burning bright, then dim again  
We watched you shine and fade away  
And wished you’d found a place to stay  

[Verse]  
They dressed your name in silver praise  
But never saw your quiet days  
You gave your light, then slipped from view  
And left the night still missing you  

[Bridge]  
Fame is cold and time moves fast  
But your memory will always last  

[Outro]  
Still a candle in the wind  
Still the voice that sang within"
Foolish Games,Jewel,1997,2a,"vulnerable, intense, pained","piano, sparse backing, female vocals",folk-pop,"[Verse]
You touched my heart, then walked away  
Left me bleeding words I couldn't say  
I gave you love, I played it true  
But still you cut me through and through  

[Chorus]
These foolish games you play  
Turn sunshine into gray  
I stood right here and lost the fight  
While you danced into the night  

[Verse]
You loved me with a stranger's smile  
Made me feel small all the while  
I wore your hurt like second skin  
Just hoping love would let me in  

[Bridge]
But love don’t live where lies begin  
It only hurts when you pretend  

[Outro]
These foolish games are done  
I’m walking toward the sun"
You Were Meant for Me,Jewel,1997,2b,"introspective, tender, acoustic","acoustic guitar, soft vocals",folk-pop,"[Verse]  
I pour my coffee, tie my shoes  
But mornings always bring the blues  
The way you laughed still haunts my mind  
Like a clock I can’t rewind  

[Chorus]  
You were meant for me, I know it's true  
In every shadow, I still see you  
I try to move, I try to be  
But nothing fits like you and me  

[Verse]  
I hear our song on distant streets  
Where we once danced with careless feet  
Now I walk alone in time  
Chasing echoes of your rhyme  

[Bridge]  
I guess fate played its hand too soon  
Left me talking to the moon  

[Outro]  
You were meant for me, can’t you see?  
You're the piece that’s missing from me"
I'll Be Missing You,Diddy feat. Faith Evans and 112,1997,3,"grieving, nostalgic, passionate","sampled beat, rap and chorus","hip hop, tribute ballad","[Verse]
Every step I take, I feel your name  
Whispers through the silent frame  
You were the light that made me see  
Now all that's left is memory  

[Chorus]
I’ll be missing you each day  
Though you’re gone, you still stay  
In my heart, you never fade  
Your love in every note I’ve played  

[Verse]
The laughs we shared, the roads we walked  
The midnight talks, the dreams we talked  
Now I search the sky for signs  
Of your soul beyond the lines  

[Bridge]
I’d give it all to hold you close  
But I still carry what matters most  

[Outro]
I’ll be missing you always  
Till I see you again someday"
Un-Break My Heart,Toni Braxton,1997,4,"heartbroken, powerful, emotional","orchestral strings, piano, strong female vocals","R&B, pop ballad","[Verse]
Don't leave me here with silent cries  
With shattered dreams and endless whys  
You tore the page, you closed the book  
But I still ache with every look  

[Chorus]
Un-break my heart, rewind the pain  
Bring back love like falling rain  
Undo the tears, restore the light  
Hold me again through the night  

[Verse]
Each day I wake, I feel the space  
Where once I found your warm embrace  
The nights are long, the bed is cold  
Your touch is all I want to hold  

[Bridge]
If love can fade, then it can grow  
So take me back to what we know  

[Outro]
Un-break my heart, don’t let it end  
Make me believe in us again"
Can't Nobody Hold Me Down,Diddy feat. Mase,1997,5,"confident, slick, braggadocious","sampled beat, rap verses, steady rhythm","hip hop, rap","[Verse]
They try to block me, close the gate  
But I just elevate, escape  
I've got a fire that won’t quit  
Each setback fuels the grit  

[Chorus]
Can’t nobody hold me down  
I rise from underground  
They can doubt, they can hate  
But I create my fate  

[Verse]
They whisper lies, they spread the shade  
But I’m built from what they made  
Every fall just proves my flight  
I bring the storm into the night  

[Bridge]
I keep on moving, I won’t stall  
Even with my back to the wall  

[Outro]
Can’t nobody dim my flame  
I was born to own this game"
Too Close,Next,1998,1,"intimate, flirty, suggestive","slow jam beat, male vocals","R&B, slow jam","[Verse]
We’re just dancing, just pretend  
But every touch begins to bend  
The lines we drew, the words unsaid  
Now spinning inside my head  

[Chorus]
You're standing too close  
Every heartbeat shows  
That I can’t resist the heat  
When your body moves to this beat  

[Verse]
We said it's nothing, we said it's fun  
But now I’m melting in your sun  
Your breath on me, your hands in time  
Got me thinking, crossing the line  

[Bridge]
We’re lost in this song tonight  
But it don’t feel right  

[Outro]
Too close to turn away  
Too close to not stay"
The Boy Is Mine,Brandy and Monica,1998,2,"competitive, emotional, polished","duet vocals, R&B instrumentation","R&B, duet","[Verse]
I see you watching, trying to claim  
But this heart ain't part of your game  
You think you know what we had  
But girl, you're reading the signs all bad  

[Chorus]
The boy is mine, no room to share  
Don’t act like he was never there  
You can talk, but I won’t budge  
This ain’t a case for you to judge  

[Verse]
He made his choice, it wasn’t you  
Stop pretending it’s not true  
I’m not the one who came too late  
Now you’re just pushing fate  

[Bridge]
You can’t rewrite what’s already done  
He’s with me — you had your run  

[Outro]
The boy is mine, that’s the deal  
Now move on and start to heal"
You're Still the One,Shania Twain,1998,3,"romantic, reassuring, devoted","country instrumentation, female vocals",country pop,"[Verse]
They all said we wouldn’t last  
But we rose from every past  
They tried to pull us far apart  
But you stayed inside my heart  

[Chorus]
You’re still the one I dream about  
Still the one I can’t live without  
Through every trial, we found our grace  
You’re still my calm, my sacred place  

[Verse]
We walked through storms and shining skies  
And never had to wear disguise  
You’ve seen me break, seen me rise  
Still you never left my side  

[Bridge]
Years may change the shape we see  
But not what you still mean to me  

[Outro]
You’re still the one I hold each night  
Still the spark, still the light"
Truly Madly Deeply,Savage Garden,1998,4,"devoted, dreamy, passionate","piano, synths, vocal harmonies","pop, soft rock","[Verse]
I want to stand with you on mountains  
I want to feel your breath in rain  
I want to hold you close forever  
And never speak your name in vain  

[Chorus]
Truly, madly, deeply I  
Will be yours until I die  
You’re the rhythm in my sleep  
The sacred soul I keep  

[Verse]
When I’m lost, you bring me back  
You’re the compass I never lack  
I’ll be the earth beneath your feet  
And every silence you repeat  

[Bridge]
This love won’t fade, it only grows  
Deeper than the world knows  

[Outro]
Truly, madly, through the storm  
Your love keeps my spirit warm"
How Do I Live,LeAnn Rimes,1998,5,"yearning, heartfelt, dramatic","strings, soft rock elements","country pop, ballad","[Verse]
Without your touch, the world feels still  
I’m walking dreams against my will  
Each second hurts, each breath I fake  
I crumble more with each heartbreak  

[Chorus]
How do I live without your love?  
When all I knew was you above  
The stars don’t shine, the sun won’t rise  
When you’re not here, I close my eyes  

[Verse]
The wind don’t sing, the rain don’t fall  
Your voice was my heart’s only call  
I reach for shadows in the night  
But you’re not there to hold me tight  

[Bridge]
You’re my beginning, you’re my end  
My only truth, my only friend  

[Outro]
How do I live, now that you’re gone?  
Still trying to be strong"
Believe,Cher,1999,1,"empowering, electronic, anthemic","auto-tuned vocals, dance beat",dance-pop,"[Verse]
No one told me it’d be this hard  
Picking pieces from the shards  
But in the silence, I found grace  
And learned to face my own embrace  

[Chorus]
Do you believe in life after love?  
When all that’s left is not enough  
Still I rise and take the fall  
Even when I lose it all  

[Verse]
I cried a sea, I screamed the night  
But now I walk into the light  
It hurt to let the past just fade  
But I'm stronger than the pain it made  

[Bridge]
Time won’t wait for me to grieve  
So I learn to just believe  

[Outro]
I believe in love again  
Even when I don’t know when"
No Scrubs,TLC,1999,2,"bold, assertive, catchy","R&B beats, vocal harmonies",R&B,"[Verse]
You roll up, but you ain’t real  
Flashing talk like it’s a deal  
But I see through your empty game  
You’ve got style, but not a name  

[Chorus]
No scrubs, no rides for free  
I need someone who’s there for me  
Not a boy who stays behind  
But a man who shows his mind  

[Verse]
You hang around with borrowed shine  
But you can’t even match my line  
I'm not here for sweet disguise  
I want truth behind the eyes  

[Bridge]
You want love? Start with pride  
Not with lies you try to hide  

[Outro]
No scrubs, just move along  
I know my worth—I’m standing strong"
Angel of Mine,Monica,1999,3,"tender, soulful, sincere","R&B instrumentation, smooth vocals","R&B, ballad","[Verse]
I used to drift without a way  
But you brought light into my day  
You showed me love I’d never known  
And now I never feel alone  

[Chorus]
Angel of mine, you came to me  
Like sunlight breaking through the sea  
With every touch, you helped me grow  
And gave me strength I didn’t know  

[Verse]
Your eyes remind me what is real  
Your love’s the peace I always feel  
You lifted me when I was down  
And placed a halo on my crown  

[Bridge]
You are the wish I didn’t send  
The story with the perfect end  

[Outro]
Angel of mine, don’t fly away  
You’re the reason that I pray"
